Metabolite	Query_protein	Protein_name	Gene_ID	Uniprot_ID	Protein_complex	log2_abundance	log2_abundance_corrected	met_mean (model comparison)	met_sd (model comparison)	p_value	q_value	Common_metabolite_name	MIDAS_ID	Pool	KEGG_ID_metabolite	HMDB_ID_metabolite	SMILES_metabolite
Nicotinamide adenine dinucleotide	GAPDH	Glyceraldehyde-3-phosphate dehydrogenase	GAPDH	P04406		3.136597486	3.959919374	0.002021432	0.192595868	7.65E-94	8.89E-91	NAD	20C_70	2	 C00003	HMDB00902	NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O
D-Sedoheptulose 7-phosphate	PFKP	"ATP-dependent 6-phosphofructokinase, platelet type"	PFKP	Q01813		-3.19280096	-3.048587042	-0.045031132	0.146182904	8.26E-94	9.41E-91	D-Sedoheptulose 7-phosphate	20C_63	4	C05382	HMDB01068	OCC1(O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H](O)[C@@H]1O
Guanosine 5-monophosphate	ALDOBconc	Fructose-bisphosphate aldolase B	ALDOB	P05062		-5.945420106	-4.1643921	0.249754336	0.218883414	1.92E-90	2.11E-87	Guanosine monophosphate	G_17	2	C00144	HMDB01397	NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1
Cytidine monophosphate	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-3.861823797	-3.252296608	0.106293805	0.173215687	9.44E-84	9.14E-81	Cytidine monophosphate	4C_16	3	C00055	HMDB00095	NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O
3-Sulfopyruvic acid	MDH2	"Malate dehydrogenase, mitochondrial"	MDH2	P40926		-6.189892457	-3.69867	0.069336921	0.196816482	1.07E-81	1.00E-78	3-Sulfopyruvic acid	CNC_102	3	C05528	HMDB04045	OC(=O)C(=O)CS(O)(=O)=O
Cytidine monophosphate	ALDOCconc	Fructose-bisphosphate aldolase C	ALDOC	P09972		-3.565045005	-3.16849695	0.106293805	0.173215687	1.02E-79	9.26E-77	Cytidine monophosphate	4C_16	3	C00055	HMDB00095	NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O
Cyclic AMP	GAPDH	Glyceraldehyde-3-phosphate dehydrogenase	GAPDH	P04406		2.528625865	2.216802127	-0.025466078	0.123266496	6.15E-74	4.96E-71	Cyclic AMP	CNC_59	3	C00575	HMDB00058	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@@H]2COP(O)(=O)O[C@H]2[C@H]1O
Guanosine 5-monophosphate	IDH3AB	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial"	IDH3A; IDH3B	P50213; O43837	AB	-4.737897632	-3.40868167	0.249754336	0.218883414	1.03E-62	7.24E-60	Guanosine monophosphate	G_17	2	C00144	HMDB01397	NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1
D-3-Phosphoglyceric acid	PGAM1	Phosphoglycerate mutase 1	PGAM1	 P18669		-2.816977737	-2.720269118	-0.020353173	0.163132147	1.59E-61	1.09E-58	(2R)-2-Hydroxy-3-(phosphonatooxy)propanoate	20C_50	4	C00197	HMDB60180	O[C@H](COP(O)(O)=O)C(O)=O
Inosine 5-monophosphate	ALDOBconc	Fructose-bisphosphate aldolase B	ALDOB	P05062		2.341081693	2.531501302	0.016457097	0.151986244	1.66E-61	1.12E-58	Inosinic acid	I_3	2	C00130	HMDB00175	O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CNC2=O
Guanosine 5-monophosphate	IDH3A2BG	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial; Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial"	IDH3A; IDH3B; IDH3G	P50213; O43837; P51553	A2BG	-4.53132608	-3.353166238	0.249754336	0.218883414	7.06E-61	4.71E-58	Guanosine monophosphate	G_17	2	C00144	HMDB01397	NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1
2-Oxoadipic acid	DHTKD1r	"Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial"	DHTKD1	Q96HY7		-1.259189158	-1.174019876	-0.015197714	0.074393406	1.04E-54	6.39E-52	Oxoadipic acid	CNC_129	3	C00322	HMDB00225	OC(=O)CCCC(=O)C(O)=O
O-Phospho-L-serine	ALDOAconc	Fructose-bisphosphate aldolase A	ALDOA	P04075		-3.145747567	-2.579000683	-0.017424468	0.165140443	2.90E-54	1.75E-51	Phosphoserine	P_2	4	C01005	HMDB00272	N[C@@H](COP(O)(O)=O)C(O)=O
Uridine 5-diphosphate	PKM2	Pyruvate kinase PKM	PKM	P14618		-2.976609423	-2.603682011	0.032147738	0.170087104	3.64E-54	2.18E-51	Uridine 5'-diphosphate	CNC_25	4	C00015	HMDB00295	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O
Uridine 5-diphosphogalactose	GCK	Hexokinase-4	GCK	P35557		-2.565183363	-1.95894796	0.061168747	0.130858616	9.17E-54	5.44E-51	Uridine diphosphategalactose	CNC_58	3	C00052	HMDB00302	OC[C@H]1O[C@H](O[P@@](O)(=O)O[P@@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@H]1O
Flavin adenine dinucleotide	GAPDH	Glyceraldehyde-3-phosphate dehydrogenase	GAPDH	P04406		2.205173982	2.140221256	-0.083880593	0.145035848	4.47E-53	2.55E-50	FAD	CNC_11	2	C00016	HMDB01248	CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC3=C1N=CN=C3N)C1=NC(=O)NC(=O)C1=N2
Thiamine monophosphate	MDH2	"Malate dehydrogenase, mitochondrial"	MDH2	P40926		-2.135394164	-1.665047131	0.075836999	0.117317954	8.19E-50	4.49E-47	Thiamine monophosphate	4C_30	1	C01081	HMDB02666	CC1=C(CCOP(O)([O-])=O)SC=[N+]1CC1=CN=C(C)N=C1N
Xanthosine	ALDOCconc	Fructose-bisphosphate aldolase C	ALDOC	P09972		-1.40636871	-1.282718058	0.00828681	0.087723957	5.04E-49	2.69E-46	Xanthosine	X_4	3	C01762	HMDB00299	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=C(O)N=C2O
Uridine 5-diphosphate	PYK	Pyruvate kinase PKLR	PKLR	P30613		-2.846252517	-2.433695788	0.032147738	0.170087104	1.26E-47	6.40E-45	Uridine 5'-diphosphate	CNC_25	4	C00015	HMDB00295	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O
NADP	MDH2	"Malate dehydrogenase, mitochondrial"	MDH2	P40926		-5.344128342	-2.558925871	0.023148425	0.178254585	1.50E-47	7.58E-45	NADP	CNC_31_R	2	C00006	HMDB00217	NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](OP(O)(O)=O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O
Acetyl coenzyme A	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		-7.181854805	-3.821370857	0.040343501	0.266698489	1.63E-47	8.15E-45	Acetyl-CoA	CNC_84	2	C00024	HMDB01206	CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N
Guanosine 5-monophosphate	IDH3AG	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial"	IDH3A; IDH3G	P50213; P51553	AG	-4.147314995	-2.889843818	0.249754336	0.218883414	1.17E-46	5.79E-44	Guanosine monophosphate	G_17	2	C00144	HMDB01397	NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1
Uridine monophosphate	ALDOCconc	Fructose-bisphosphate aldolase C	ALDOC	P09972		-1.828506115	-1.606627697	0.003821075	0.114188649	3.62E-45	1.74E-42	Uridine 5'-monophosphate	U_3	3	C00105	HMDB00288	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O
Nicotinamide adenine dinucleotide	IDH3AB	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial"	IDH3A; IDH3B	P50213; O43837	AB	2.419116831	2.691216465	0.002021432	0.192595868	2.63E-44	1.23E-41	NAD	20C_70	2	 C00003	HMDB00902	NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O
Cytidine monophosphate	ALDOBconc	Fructose-bisphosphate aldolase B	ALDOB	P05062		-3.449714286	-2.307399555	0.106293805	0.173215687	3.90E-44	1.81E-41	Cytidine monophosphate	4C_16	3	C00055	HMDB00095	NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O
Nicotinamide ribotide	IDH3A2BG	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial; Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial"	IDH3A; IDH3B; IDH3G	P50213; O43837; P51553	A2BG	-3.178027988	-2.488267709	0.075998141	0.186623951	5.82E-43	2.66E-40	Nicotinamide ribotide	CNC_14	2	C00455	HMDB00229	NC(=O)C1=CC=C[N+](=C1)[C@@H]1O[C@H](COP(O)([O-])=O)[C@@H](O)[C@H]1O
Guanosine	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		1.123122844	1.046472347	0.014577626	0.077037314	6.49E-41	2.90E-38	Guanosine	G_19	3	C00387	HMDB00133	NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N1
Phosphocholine	MDH2	"Malate dehydrogenase, mitochondrial"	MDH2	P40926		-1.928396814	-1.281768695	0.054600312	0.100938229	5.19E-40	2.30E-37	Phosphorylcholine	20C_21	1	C00588	HMDB01565	C[N+](C)(C)CCOP(O)(O)=O
Butyryl coenzyme A	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		-8.16590691	-3.269705387	0.125910617	0.257379226	9.62E-40	4.20E-37	Butyryl-CoA	20C_41	2	C00136	HMDB01088	CCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N
Deoxyguanylate	IDH3A2BG	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial; Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial"	IDH3A; IDH3B; IDH3G	P50213; O43837; P51553	A2BG	-2.086145772	-1.900725878	0.007249429	0.146567107	9.70E-39	4.17E-36	2'-Deoxyguanosine 5'-monophosphate	20C_23	4	C00362	HMDB01044	NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](COP(O)(O)=O)O2)C(=O)N1
D-Glucosamine 6-phosphate	GCK	Hexokinase-4	GCK	P35557		-3.289231227	-2.220141044	-0.010885097	0.170449645	2.03E-38	8.53E-36	Glucosamine 6-phosphate	CNC_9	4	C00352	HMDB01254	N[C@H]1[C@@H](O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O
Guanosine 5-monophosphate	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		0.639701794	3.077322431	0.249754336	0.218883414	3.56E-38	1.48E-35	Guanosine monophosphate	G_17	2	C00144	HMDB01397	NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1
D-Tagatose 6-phosphate	FBPase-M	"Fructose-1,6-bisphosphatase isozyme 2"	FBP2	O00757		-3.01313315	-1.583167625	0.119279197	0.132486648	8.61E-38	3.50E-35	D-Tagatose 6-phosphate	20C_67	1	C01097	HMDB06873	OCC1(O)O[C@H](COP(O)(O)=O)[C@H](O)[C@@H]1O
"2,3-Dihydroxypropyl hexopyranoside"	IDH3A2BG	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial; Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial"	IDH3A; IDH3B; IDH3G	P50213; O43837; P51553	A2BG	-3.15681073	-2.100434882	-0.008467388	0.1635986	1.93E-37	7.80E-35	Galactosylglycerol	Cay_5	2	C05401	HMDB06790	OCC(O)CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
Adenylosuccinic acid	GAPDH	Glyceraldehyde-3-phosphate dehydrogenase	GAPDH	P04406		-4.101799533	-2.366126321	0.151830451	0.196948334	1.99E-37	7.98E-35	Adenylsuccinic acid	CNC_124	3	C03794	HMDB00536	O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CN=C2NC(CC(O)=O)C(O)=O
Guanosine 5-diphosphate	IDH2	"Isocitrate dehydrogenase [NADP], mitochondrial"	IDH2	P48735		-3.587237213	-2.7589899	0.001429857	0.218425615	1.31E-36	5.20E-34	Guanosine diphosphate	CNC_88	4	C00035	HMDB01201	NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1
Malonyl coenzyme A	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-3.86667695	-2.584150744	0.069387638	0.212125818	6.64E-36	2.59E-33	Malonyl-CoA	CNC_74	2	C00083	HMDB01175	CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(O)=O
Nicotinamide ribotide	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-3.52776155	-2.224125751	0.075998141	0.186623951	6.65E-35	2.53E-32	Nicotinamide ribotide	CNC_14	2	C00455	HMDB00229	NC(=O)C1=CC=C[N+](=C1)[C@@H]1O[C@H](COP(O)([O-])=O)[C@@H](O)[C@H]1O
Riboflavin 5-monophosphate	IDH2	"Isocitrate dehydrogenase [NADP], mitochondrial"	IDH2	P48735		-1.735479244	-1.608212165	-0.0082797	0.130571133	1.61E-34	6.00E-32	Flavin Mononucleotide	20C_71	2	C00061	HMDB01520	CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(O)=O)C1=NC(=O)NC(=O)C1=N2
N-Acetyl-D-glucosamine 1-phosphate	GCK	Hexokinase-4	GCK	P35557		-7.421710472	-4.598761739	0.012357949	0.376789768	1.95E-34	7.17E-32	N-Acetyl-glucosamine 1-phosphate	20C_68	4	 C04501	HMDB01367	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)OC1OP(O)(O)=O
Nicotinamide adenine dinucleotide	LDHB	L-lactate dehydrogenase B chain	LDHB	P07195		2.181117411	2.33728998	0.002021432	0.192595868	7.76E-34	2.82E-31	NAD	20C_70	2	 C00003	HMDB00902	NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O
L-a-Aspartyl-L-phenylalanine	MDH2	"Malate dehydrogenase, mitochondrial"	MDH2	P40926		-4.301035555	-2.086192644	0.043544138	0.176767029	1.98E-33	7.10E-31	Aspartylphenylalanine	CNC_112	3		HMDB00706	N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O
Cytidine	GCK	Hexokinase-4	GCK	P35557		-2.379694662	-1.903392421	0.05961314	0.163134605	2.38E-33	8.44E-31	Cytidine	C_7	1	C00475	HMDB00089	NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
Phosphoenolpyruvic acid	PGAM1	Phosphoglycerate mutase 1	PGAM1	 P18669		-1.877956366	-1.600825683	-0.00828918	0.135252264	5.28E-32	1.81E-29	Phosphoenolpyruvic acid	20C_59	4	 C00074	HMDB00263	OC(=O)C(=C)OP(O)(O)=O
Isovaleryl coenzyme A	GCK	Hexokinase-4	GCK	P35557		-0.912779087	3.83736143	0.155156063	0.313894405	8.87E-32	3.03E-29	Isovaleryl-CoA	20C_46	2	C02939	HMDB01113	CC(C)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N
Glutathione disulfide	IDH3AB	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial"	IDH3A; IDH3B	P50213; O43837	AB	-5.21710247	-4.23748729	0.135602568	0.373513526	1.16E-31	3.92E-29	Oxidized glutathione	4C_29	4	C00127	HMDB03337	NC(CCC(=O)NC(CSSCC(NC(=O)CCC(N)C(O)=O)C(=O)NCC(O)=O)C(=O)NCC(O)=O)C(O)=O
Guanosine	ALDOCconc	Fructose-bisphosphate aldolase C	ALDOC	P09972		-0.900327954	-0.87884448	0.014577626	0.077037314	4.25E-31	1.40E-28	Guanosine	G_19	3	C00387	HMDB00133	NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N1
Hypoxanthine	ALDOBconc	Fructose-bisphosphate aldolase B	ALDOB	P05062		0.892109116	1.086227181	-0.009982313	0.096445891	6.17E-30	1.99E-27	Hypoxanthine	H_2	2	C00262	HMDB00157	OC1=NC=NC2=C1NC=N2
Orotidine 5-monophosphate	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		-6.862013891	-2.756129538	0.14514097	0.256355132	1.08E-29	3.45E-27	Orotidylic acid	CNC_77	4	C01103	HMDB00218	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C(=O)NC(=O)C=C1C(O)=O
N-Acetyl-D-glucosamine 1-phosphate	TPI	Triosephosphate isomerase	TPI1	P60174		-5.253749852	-4.24871554	0.012357949	0.376789768	1.19E-29	3.78E-27	N-Acetyl-glucosamine 1-phosphate	20C_68	4	 C04501	HMDB01367	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)OC1OP(O)(O)=O
Deoxyguanylate	ALDOCconc	Fructose-bisphosphate aldolase C	ALDOC	P09972		-1.722408054	-1.640862859	0.007249429	0.146567107	2.46E-29	7.76E-27	2'-Deoxyguanosine 5'-monophosphate	20C_23	4	C00362	HMDB01044	NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](COP(O)(O)=O)O2)C(=O)N1
2-Deoxycytidine 5-diphosphate	ALDOAconc	Fructose-bisphosphate aldolase A	ALDOA	P04075		-2.362816242	-1.494762809	-0.019837518	0.133070389	1.50E-28	4.62E-26	dCDP	CNC_53	4	C00705	HMDB01245	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O1
5-Phospho-D-ribose 1-diphosphate	FBPase-L	"Fructose-1,6-bisphosphatase 1"	FBP1	P09467		-3.545581393	-2.780771644	0.140641604	0.268547514	1.46E-27	4.34E-25	Phosphoribosyl pyrophosphate	20C_49	4	C00119	HMDB00280	O[C@H]1[C@@H](O)[C@@H](OP(O)(=O)OP(O)(O)=O)O[C@@H]1COP(O)(O)=O
2-Deoxyadenosine	GCK	Hexokinase-4	GCK	P35557		-3.783957178	-2.986374754	0.396756588	0.314136012	4.79E-27	1.40E-24	Deoxyadenosine	4C_15	1	C00559	HMDB00101	NC1=NC=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](CO)O1
Deoxyadenosine monophosphate	FBPase-L	"Fructose-1,6-bisphosphatase 1"	FBP1	P09467		1.599753999	1.507766504	-0.070008472	0.151362996	1.93E-25	5.39E-23	Deoxyadenosine monophosphate	20C_36	4	C00360	HMDB00905	NC1=NC=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1
Inosine 5-monophosphate	IDH3A2BG	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial; Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial"	IDH3A; IDH3B; IDH3G	P50213; O43837; P51553	A2BG	-2.137560945	-1.565095006	0.016457097	0.151986244	2.33E-25	6.45E-23	Inosinic acid	I_3	2	C00130	HMDB00175	O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CNC2=O
Xanthosine 5-monophosphate	FBPase-M	"Fructose-1,6-bisphosphatase isozyme 2"	FBP2	O00757		0.959685695	1.112146631	-0.017842855	0.109040675	3.65E-25	1.01E-22	Xanthylic acid	CNC_143	3	C00655	HMDB01554	O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1NC(=O)NC2=O
3-Phosphoadenosine 5-phosphosulfate	PGAM1	Phosphoglycerate mutase 1	PGAM1	 P18669		1.219174593	1.449806246	-0.02970801	0.142775602	3.67E-25	1.01E-22	Phosphoadenosine phosphosulfate	70C_1	4	C00053	HMDB01134	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OS(O)(=O)=O)[C@@H](OP(O)(O)=O)[C@H]1O
Flavin adenine dinucleotide	LDHB	L-lactate dehydrogenase B chain	LDHB	P07195		1.431898019	1.4159027	-0.083880593	0.145035848	4.61E-25	1.26E-22	FAD	CNC_11	2	C00016	HMDB01248	CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC3=C1N=CN=C3N)C1=NC(=O)NC(=O)C1=N2
